Id,Word,Transcription
65614,RADIUM,R EY D IY AH M
65615,HEUPEL,HH OY P AH L
65616,SPRICK,S P R IH K
65617,FERNANDINA,F ER N AH N D IY N AH
65618,BISBEE,B IH S B IY
65619,STAPEL,S T AE P AH L
65620,ERASERS,IH R EY S ER Z
65621,EIGHMY,EY G M IY
65622,INFLAME,IH N F L EY M
65623,GIARD,JH AA R D
65624,COUNTLESS,K AW N T L AH S
65625,OUTRUNS,AW T R AH N Z
65626,TORIE,T AO R IY
65627,GAIA,G AY AH
65628,SHIPMATE,SH IH P M EY T
65629,YARDER,Y AA R D ER
65630,LUPINE,L UW P AY N
65631,YOUNGERMAN,Y AH NG ER M AH N
65632,AEROSPATIALE,EH R OW S P AA S IY AA L
65633,SEELIG,S IY L IH G
65634,BATISTA,B AH T IH S T AA
65635,GENERALES,JH EH N EH R AA L EH S
65636,APOCALYPSE,AH P AA K AH L IH P S
65637,WOOFTER,W UW F T ER
65638,WRENCHING,R EH N CH IH NG
65639,MAUZEY,M AO Z IY
65640,UNCORRECTED,AH N K ER EH K T IH D
65641,PROPHYLACTIC,P R AA F IH L AE K T IH K
65642,ACHATZ,AE K AH T S
65643,RHODANTHE,R OW D AE N TH
65644,CRUZADO,K R UW Z AA D OW
65645,CARBURETOR,K AA R B ER EY T ER
65646,APPOINTEE,AH P OY N T IY
65647,DRYPOINT,D R AY P OY N T
65648,CONSUMMATE,K AA N S AH M EY T
65649,WANTED,W AO N IH D
65650,BRAVO,B R AA V OW
65651,DAVIS',D EY V AH S
65652,KABI,K AE B IY
65653,NUMBED,N AH M D
65654,BRECKER,B R EH K ER
65655,CENDEJAS,S EY N D EY Y AA Z
65656,INVESTOR'S,IH N V EH S T ER Z
65657,DIAZ,D IY AE Z
65658,CONNECTOR,K AH N EH K T ER
65659,ZWIEBEL,Z W IY B AH L
65660,JANI,Y AA N IY
65661,EVELETH,EH V IH L IH TH
65662,DETECT,D IH T EH K T
65663,SHINGLER,SH IH NG L ER
65664,COLBAUGH,K OW L B AO
65665,CARVERS,K AA R V ER Z
65666,TARNOW,T AA R N OW
65667,HUTSON,HH AH T S AH N
65668,MENNELLA,M EH N EH L AH
65669,INFUSE,IH N F Y UW Z
65670,IBRAHIM,IH B R AA HH IY M
65671,TAINT,T EY N T
65672,BRONCOS,B R AA NG K OW Z
65673,LUCA,L UW K AH
65674,ELL,EH L
65675,ORPHANAGES,AO R F AH N IH JH IH Z
65676,PARTICIPATIONS,P AA R T IH S AH P EY SH AH N Z
65677,DEMUTH,D IY M AH TH
65678,EURODEPOSITS,Y UW R OW D IH P AA Z IH T S
65679,SHAMIR,SH AH M IH R
65680,BILINGUALISM,B AY L IH NG G W AH L IH Z AH M
65681,DISINTERESTED,D IH S IH N T R IH S T IH D
65682,QUA,K W AA
65683,CHAU,SH OW
65684,CAMCORDERS,K AE M K AO R D ER Z
65685,COLLOR,K AO L ER
65686,KAMEN,K AA M EH N
65687,SANDBAGS,S AE N D B AE G Z
65688,FIEBER,F IY B ER
65689,CARILLON,K EH R AH L AA N
65690,BIOPHARMACEUTICAL,B AY OW F AA R M AH S UW T IH K AH L
65691,VARANO,V AA R AA N OW
65692,CONSTITUENT,K AH N S T IH CH UW AH N T
65693,DOTTIE,D AA T IY
65694,FLANIGAN,F L AE N IH G AH N
65695,PADDLING,P AE D AH L IH NG
65696,BROCKSMITH,B R AA K S M IH TH
65697,CUTSFORTH,K AH T S F AO R TH
65698,WEIMANN,W AY M AH N
65699,SAN,S AE N
65700,WENTE,W EH N T
65701,ANTIBODY,AE N T IH B AA D IY
65702,MACLEAN,M AH K L EY N
65703,FUNG,F AH NG
65704,FAIRCHILD,F EH R CH AY L D
65705,TREML,T R EH M AH L
65706,UNIMATION,Y UW N IH M EY SH AH N
65707,GIBBONS,G IH B IH N Z
65708,MOZART'S,M OW T S AA R T S
65709,SZUMSKI,SH AH M S K IY
65710,OVERSUBSCRIBED,OW V ER S AH B S K R AY B D
65711,OESER,OW Z ER
65712,JINGLE,JH IH NG G AH L
65713,FREEHOLDERS,F R IY HH OW L D ER Z
65714,NYCUM,N AY K AH M
65715,LITIGATED,L IH T IH G EY T IH D
65716,RIEHM,R IY M
65717,EVENTFUL,IH V EH N T F AH L
65718,EXCHANGE,IH K S CH EY N JH
65719,PRIORS,P R AY ER Z
65720,GITHA,JH IH DH AH
65721,RESIDENCES,R EH Z IH D AH N S IH Z
65722,PEACETIME,P IY S T AY M
65723,PREFACED,P R EH F AH S T
65724,COHEA,K AA HH IY AH
65725,PANDYA,P AA N D Y AH
65726,WINSLET,W IH N S L IH T
65727,MAEVE,M AH EH V
65728,RANDALL,R AE N D AH L
65729,DIFFERENCES,D IH F R AH N S AH Z
65730,SCHLATTER,SH L AE T ER
65731,DAZZLED,D AE Z AH L D
65732,KLUTE,K L UW T
65733,BOTHE,B OW DH
65734,RIVIELLO,R IY V IY EH L OW
65735,CLIMATOLOGIST,K L AY M AH T AA L AH JH IH S T
65736,POODLES,P UW D AH L Z
65737,WORSTER,W ER S T ER
65738,MERIWEATHER,M EH R IH W EH DH ER
65739,DECLARES,D IH K L EH R Z
65740,AUTO'S,AO T OW Z
65741,INACTIVATE,IH N AE K T IH V EY T
65742,HASSEY,HH AE S IY
65743,YEN,Y EH N
65744,SWANER,S W AO N ER
65745,HURON,HH Y UH R AA N
65746,PRIVILEGES,P R IH V L AH JH AH Z
65747,VEZINA,V EH Z IY N AH
65748,ELSEY,EH L S IY
65749,PETTI,P EH T IY
65750,ADL-TABATABAI,AA D AH L T AA B AH T AH B AY
65751,PEKIN,P IY K AH N
65752,MILHOLLAND,M IH L HH AH L AH N D
65753,IMPLICATIONS,IH M P L AH K EY SH AH N Z
65754,VIST,V IH S T
65755,ESTERLINE,EH S T ER L AY N
65756,BYPRODUCTS,B AY P R AO D AH K T S
65757,ZARATE,Z AA R EY T
65758,MIXUP,M IH K S AH P
65759,COURTLAND,K AO R T L AE N D
65760,FEINMAN,F AY N M AH N
65761,SWISSHELM,S W IH S HH EH L M
65762,BRINN,B R IH N
65763,HIBERNIA'S,HH AY B ER N IY AH Z
65764,HOUSTONIAN,HH UW S T OW N IY AH N
65765,REAGANITE,R IY G AH N AY T
65766,MARKEE,M AA R K IY
65767,UNDID,AH N D IH D
65768,HEFFEL,HH EH F AH L
65769,AIRWAYS'S,EH R W EY Z IH Z
65770,WHIMS,HH W IH M Z
65771,PUBLICIZED,P AH B L IH S AY Z D
65772,DISGUSTING,D IH S G AH S T IH NG
65773,PROBLEMATICAL,P R AA B L AH M AE T IH K AH L
65774,JIMBO'S,JH IH M B OW Z
65775,CHANNELS,CH AE N AH L Z
65776,DEBATING,D AH B EY T IH NG
65777,BAATZ,B AA T S
65778,GUIDONE,G IY D OW N IY
65779,WALKERS,W AO K ER Z
65780,PROTOTYPES,P R OW T AH T AY P S
65781,STABILIZING,S T EY B AH L AY Z IH NG
65782,CUTLER,K AH T L ER
65783,KASLER,K AE S AH L ER
65784,CRETIN,K R IY T AH N
65785,GUANTANAMO'S,G W AA N T AA N AH M OW Z
65786,COUNTERACTED,K AW N T ER AE K T IH D
65787,NABISCO'S,N AH B IH S K OW Z
65788,EARTHSHINE,ER TH SH AY N
65789,DEBRUYN,D EH B R AY N
65790,KENYANS,K IY N Y AH N Z
65791,SHOOTIN',SH UW T IH N
65792,MARINERS,M EH R AH N ER Z
65793,SCREWBALL,S K R UW B AO L
65794,LYVERS,L AY V ER Z
65795,SPRAGG,S P R AE G
65796,PLAGUES,P L EY G Z
65797,WINTHROP'S,W IH N TH R AH P S
65798,ASSERTIVE,AH S ER T IH V
65799,DARCANGELO,D AA R K AA NG G EH L OW
65800,ADAS,EY D AH Z
65801,IRAQIS,IH R AE K IY Z
65802,CYCADS,S AY K AE D Z
65803,SLUDER,S L UW D ER
65804,JESSOP,JH EH S AH P
65805,WILLCUTT,W IH L K AH T
65806,HANDSHAKES,HH AE N D SH EY K S
65807,HOLLERED,HH AA L ER D
65808,TELEVISA,T EH L AH V IY Z AH
65809,NOBLY,N AA B L IY
65810,CELLIO,CH EH L IY OW
65811,CULINARY,K Y UW L IH N EH R IY
65812,BACHRACH,B AA K R AH K
65813,HOSACK,HH AA S AH K
65814,INNINGS,IH N IH NG Z
65815,JEFFREY,JH EH F R IY
65816,STARDEL,S T AA R D EH L
65817,EQUILIBRIA,IY K W AH L IH B R IY AH
65818,BRENTON,B R EH N T AH N
65819,MONTEMURRO,M AA N T EH M UH R OW
65820,ATTENTIVE,AH T EH N T IH V
65821,WOBST,W AA B S T
65822,KAWASAKI,K AA W AA S AA K IY
65823,SICKEST,S IH K AH S T
65824,RENO,R IY N OW
65825,RODEFER,R AA D IH F ER
65826,PHARISAISM,F AE R IH S EY IH Z AH M
65827,CANSECO,K AE N S EH K OW
65828,PROTECTIONISM,P R AH T EH K SH AH N IH Z AH M
65829,METRE,M IY T ER
65830,BLESS,B L EH S
65831,TOOTHPASTE,T UW TH P EY S T
65832,PERSHARE,P ER SH EH R
65833,REDEPLOYING,R IY D IH P L OY IH NG
65834,LUKASH,L UW K AE SH
65835,STRUMS,S T R AH M Z
65836,PECHORA,P EH K ER AH
65837,ONAWA,OW N AA W AH
65838,BURRILL,B AO R AH L
65839,FRESHWATER,F R EH SH W AO T ER
65840,DITSY,D IH T S IY
65841,AVITAL,AH V IY T AH L
65842,WARRINGTON,W AO R IH NG T AH N
65843,MAILING,M EY L IH NG
65844,PETERSON,P IY T ER S AH N
65845,SORRENTI,S AO R EH N T IY
65846,NEWBERY,N UW B EH R IY
65847,HERB,HH ER B
65848,CONFLICTS(4),K AA N F L IH K S
65849,FIREBUG,F AY ER B AH G
65850,VENZKE,V EH N Z K
65851,GUTHRIE,G AH TH R IY
65852,GAMMAGE,G AE M IH JH
65853,DELIGHTING,D IH L AY T IH NG
65854,GARBLED,G AA R B AH L D
65855,REVIVES,R IY V AY V Z
65856,LASAGNA,L AH Z AA N Y AH
65857,SABATINE,S AA B AA T IY N IY
65858,SHOWCASING,SH OW K EY S IH NG
65859,RECORDED,R AH K AO R D AH D
65860,KANTLE,K AE N T AH L
65861,GENERAL,JH EH N R AH L
65862,UVA,Y UW V AH
65863,RESERVING,R IH Z ER V IH NG
65864,DUNNIGAN,D AH N IH G AH N
65865,SCHRADER,SH R EY D ER
65866,GREEN'S,G R IY N Z
65867,MOTIVATION,M OW T AH V EY SH AH N
65868,GIUSTI,JH UW S T IY
65869,YOOS,Y UW Z
65870,EMERGE,IH M ER JH
65871,INTERBANK,IH N T ER B AE NG K
65872,MANIATIS,M AE N IY AA T IH S
65873,INSTALLERS,IH N S T AO L ER Z
65874,REDUCING,R IH D UW S IH NG
65875,YANKEE,Y AE NG K IY
65876,GARDENING,G AA R D AH N IH NG
65877,FRICKE,F R IH K
65878,SIEGEL,S IY G AH L
65879,FILMMAKER'S,F IH L M EY K ER Z
65880,GESELL,G EH S AH L
65881,CHATZ'S,CH AE T S IH Z
65882,HELMS'S,HH EH L M Z IH Z
65883,BURNLEY,B ER N L IY
65884,SCHMITTER,SH M IH T ER
65885,ZORTMAN,Z AO R T M AH N
65886,SUBOTNICK,S AH B AA T N IH K
65887,BEAST,B IY S T
65888,WRISTS,R IH S T S
65889,SEGUIN,S AH G IY N
65890,RIOUX,R UW
65891,RESOLUTELY,R EH Z AH L UW T L IY
65892,RAMELLA,R AH M EH L AH
65893,WAREHOUSE,W EH R HH AW S
65894,LORITA,L AO R IY T AH
65895,GREENBACK'S,G R IY N B AE K S
65896,DEBARR,D IH B AE R
65897,AFSHAR'S,AE F SH ER Z
65898,CULBREATH,K AH L B R EH TH
65899,ACHENBAUM,AE K AH N B AW M
65900,DISPERSIVE,D IH S P ER S IH V
65901,FLEECE,F L IY S
65902,ZIDEK,Z IH D IH K
65903,KABLE,K EY B AH L
65904,IDIOSYNCRASIES,IH D IY OW S IH N K R AH S IY Z
65905,BOWELS,B AW L Z
65906,PRINCIPLE,P R IH N S AH P AH L
65907,BANKAMERICA'S,B AE NG K AH M EH R IH K AH Z
65908,CONSPIRATORIALLY,K AH N S P IH R AH T AO R Y AH L IY
65909,INADMISSIBLY,IH N AH D M IH S AH B L IY
65910,WILKS,W IH L K S
65911,CRAGHEAD,K R AE G HH EH D
65912,KOSKI,K AW S K IY
65913,JORDEN,JH AO R D AH N
65914,TERADA,T ER AA D AH
65915,MIMNAUGH,M IH M N AW
65916,ALBARRAN,AE L B AE R AH N
65917,VARNISHED,V AA R N IH SH T
65918,PURGE,P ER JH
65919,INVESTOR,IH N V EH S T ER
65920,HIMALAYAN,HH IH M AH L AY AH N
65921,TRADEMARKS,T R EY D M AA R K S
65922,CRAGGY,K R AE G IY
65923,WILLOWES,W IH L OW Z
65924,NEXRAD,N EH K S R AE D
65925,STRUT,S T R AH T
65926,LAFER,L EY F ER
65927,FIBRONICS,F IH B R AA N IH K S
65928,RIDGED,R IH JH D
65929,ROUKOS,R UW K OW S
65930,MET'S,M EH T S
65931,SEWN,S OW N
65932,VANTINE,V AA N T IY N IY
65933,DEPICTION,D IH P IH K SH AH N
65934,(PARENTHESES,P ER EH N TH AH S IY Z
65935,NERD,N ER D
65936,DRIZZLE,D R IH Z AH L
65937,MORRIS'S,M AO R IH S IH Z
65938,UNCLASSIFY,AH N K L AE S IH F AY
65939,PRIX,P R IY
65940,DUTIFULLY,D UW T IY F AH L IY
65941,CULTURALLY,K AH L CH ER AH L IY
65942,SCHOENIG,SH OW N IH G
65943,ISGRIGG,IH S G R IH G
65944,VICKERMAN,V IH K ER M AH N
65945,CHEROKEE'S,CH EH R AH K IY Z
65946,SHADE,SH EY D
65947,FLANGES,F L AE N JH AH Z
65948,SEMICIRCULAR,S EH M IY S ER K Y AH L ER
65949,DOEDEN,D OW D AH N
65950,CRASSWELLER'S,K R AE S W EH L ER Z
65951,COMMENTARY,K AA M AH N T EH R IY
65952,TAGGART,T AE G ER T
65953,BLOWDRYERS,B L OW D R AY ER Z
65954,CLUTCHING,K L AH CH IH NG
65955,WHISKER,W IH S K ER
65956,MACIEJEWSKI,M AH CH EH F S K IY
65957,BRAVADO,B R AH V AA D OW
65958,REBELS',R EH B AH L Z
65959,BEATER,B IY T ER
65960,HUMID,Y UW M AH D
65961,CANVASSED,K AE N V AH S T
65962,INTREPIDLY,IH N T R EH P AH D L IY
65963,KARNICKI,K AA R N IH K IY
65964,DUMAINE,D AH M EY N
65965,WORKSHOP,W ER K SH AA P
65966,INTENT,IH N T EH N T
65967,STEINHARDT'S,S T AY N HH AA R T S
65968,COHIBA,K OW HH IY B AH
65969,TORIES,T AO R IY Z
65970,BULA,B Y UW L AH
65971,JURE,JH UH R
65972,ANTEMERIDIAN,AE N T AH M EH R IH D IY AH N
65973,VERBOON,V ER B UW N
65974,NEWORLD,N EH W ER L D
65975,ALLEVA,AA L EY V AH
65976,FOE,F OW
65977,MOISAN,M OY Z AE N
65978,ROEPER,R OW P ER
65979,SOLOMOS,S AA L AH M OW S
65980,ALEXANDROV,AE L AH G Z AE N D R AH V
65981,PSYCHOGENIC,S AY K OW JH EH N IH K
65982,WEAPON,W EH P AH N
65983,EUROMARKETS,Y UW R OW M AA R K IH T S
65984,KROMER,K R OW M ER
65985,MACKEN,M AE K AH N
65986,REMITTANCES,R IY M IH T AH N S IH Z
65987,HOBLIT,HH AA B L IH T
65988,COGENCY,K OW JH AH N S IY
65989,IRREPARABLY,IH R EH P ER AH B L IY
65990,MICROS,M AY K R OW Z
65991,POLITIS,P AA L AY T IH S
65992,DIAZ-CALDERON,D IY AE Z K AE L D ER OW N
65993,MARE,M EH R
65994,GUANACO,G W AH N AA K OW
65995,BOAN,B OW N
65996,DIVULGING,D AY V AH L JH IH NG
65997,GREENED,G R IY N D
65998,JIA,JH IY AH
65999,SCRIBBLERS,S K R IH B L ER Z
66000,NEWHARD,N UW HH AA R D
66001,CUTBACK,K AH T B AE K
66002,ARBY'S,AA R B IY Z
66003,MINSHEW,M IH N SH UW
66004,HACKLE,HH AE K AH L
66005,HEADCOUNTS,HH EH D K AW N T S
66006,MARJORAM,M AA JH ER AH M
66007,PEBEREAU'S,P EH B ER OW Z
66008,TAIPEI,T AY P EY
66009,SPRUCING,S P R UW S IH NG
66010,KVASNICKA,K V AH S N IH S K AH
66011,KRUSZKA,K R AH SH K AH
66012,LUGWORM,L AH G W ER M
66013,GLORIOUSLY,G L AO R IY AH S L IY
66014,START-UPS,S T AA R T AH P S
66015,POOLAS,P UW L AH S
66016,OXALIS,AA K S AH L AH S
66017,BATLEY,B AE T L IY
66018,BULLDOGS,B UH L D AO G Z
66019,DOMAGALSKI,D AH M AH G AA L S K IY
66020,DEFAZIO,D IH F AA Z IY OW
66021,SEEDEATERS,S IY D IY T ER Z
66022,RECONNECTED,R IY K AH N EH K T IH D
66023,KANTOR'S,K AE N T AO R Z
66024,BLESSINGER,B L EH S IH NG ER
66025,BLEACHED,B L IY CH T
66026,SLOVES,S L OW V Z
66027,REFUGE'S,R EH F Y UW JH IH Z
66028,PIGNATO,P IY G N AA T OW
66029,TWITCH,T W IH CH
66030,MINEFIELD,M AY N F IY L D
66031,BREVIG,B R EH V IH G
66032,FIRENZA,F IH R EH N Z AH
66033,DEADENING,D EH D N IH NG
66034,SHUFFIELD,SH AH F IY L D
66035,SUBSEQUENTLY,S AH B S AH K W AH N T L IY
66036,EVARTS,EH V ER T S
66037,FIRTH,F ER TH
66038,GAUGLER,G AO G L ER
66039,ARITHMETIC,ER IH TH M AH T IH K
66040,WORKFORCE,W ER K F AO R S
66041,LAMINER,L AE M AH N ER
66042,KWOK-SHING,K W AO K SH IH NG
66043,ROWAINE'S,R OW EY N Z
66044,SHANK,SH AE NG K
66045,BEAL,B IY L
66046,JAUNTY,JH AO N T IY
66047,DONIA,D OW N IY AH
66048,TROUBH,T R UW B
66049,RODA,R OW D AH
66050,CARKHUFF,K AA R K HH AH F
66051,CHRISTENING,K R IH S N IH NG
66052,ORTHODONTIST'S,AO R TH AH D AA N T AH S T S
66053,BAR,B AA R
66054,PLAYROOM,P L EY R UW M
66055,LEISURE,L IY ZH ER
66056,STANSBERRY,S T AE N S B EH R IY
66057,TEAHAN,T IY AH N
66058,SKEPTICALLY,S K EH P T IH K L IY
66059,THOMAS',T AA M AH S
66060,WEBBING,W EH B IH NG
66061,HEAVYWEIGHT,HH EH V IY W EY T
66062,BOOTS,B UW T S
66063,INDECISION,IH N D IH S IH ZH AH N
66064,DIDN'T,D IH D AH N
66065,CULLUM,K AH L AH M
66066,THROBBING,TH R AA B IH NG
66067,QUIRKS,K W ER K S
66068,SIANG,S Y AE NG
66069,SEANCE,S EY AA N S
66070,SQUAWK,S K W AO K
66071,BOYLES,B OY L Z
66072,MOLLNER,M AA L N ER
66073,BERYLLIUM,B ER IH L IY AH M
66074,LESSIG,L EH S IH G
66075,DEBELLO,D IH B EH L OW
66076,CAHORA,K AH HH AO R AH
66077,LASTS,L AE S T S
66078,SCIENTIFIC,S AY AH N T IH F IH K
66079,BARBASH,B AA R B AE SH
66080,YUSTEF,Y UW S T EH F
66081,RASPBERRIES,R AE Z B EH R IY Z
66082,PAUGH,P AO
66083,PEISER,P AY S ER
66084,PLUME,P L UW M
66085,IPTAY,IH P T EY
66086,YZAGUIRRE,IY Z AH G W AY ER
66087,PHOTOGRAPH,F OW T AH G R AE F
66088,BROCCOLI,B R AA K L IY
66089,TURNBOW,T ER N B OW
66090,KISSEE,K IH S IY
66091,GENCO,JH EH NG K OW
66092,A'S,EY Z
66093,CEPHUS,S EH F AH S
66094,BEVEL,B EH V AH L
66095,FOUR,F AO R
66096,MINERALOGICALLY,M IH N ER AH L AA JH IH K AH L IY
66097,CARBONARO,K AA R B OW N AA R OW
66098,DESJARLAIS,D EH S ZH AA R L EY
66099,BOUGIE,B UW ZH IY
66100,WOLSFELD,W OW L Z F EH L D
66101,GESSNER,G EH S N ER
66102,PIX,P IH K S
66103,CORRIDORS,K AO R IH D ER Z
66104,PASTEL,P AE S T EH L
66105,TRUSTS',T R AH S T S
66106,PANKY,P AE NG K IY
66107,HAMMERMEISTER,HH AE M ER M AY S T ER
66108,TUCCILLO,T UW CH IH L OW
66109,PLANITZER,P L AE N IH T S ER
66110,FENDLER,F EH N D L ER
66111,INFORMS,IH N F AO R M Z
66112,ONCOLOGY,AA NG K AA L AH JH IY
66113,DISPERSING,D IH S P ER S IH NG
66114,ISLIP,AY S L IH P
66115,MACLIN,M AE K L AH N
66116,GITTENS,G IH T AH N Z
66117,REDISTRIBUTING,R IY D IH S T R IH B Y AH T IH NG
66118,FIATO,F Y AE T OW
66119,OPOSSUM,OW P AA S AH M
66120,SHYMANSKI,SH AH M AE N S K IY
66121,EXTRAPOLATING,EH K S T R AE P AH L EY T IH NG
66122,OUTWEIGHED,AW T W EY D
66123,STEINMILLER,S T AY N M IH L ER
66124,BOOTE,B UW T
66125,SHOUGH,SH AW
66126,TYRANT,T AY R AH N T
66127,RIMMED,R IH M D
66128,ROSENMAN,R OW Z AH N M AH N
66129,VENERATED,V EH N ER EY T IH D
66130,SEATING,S IY T IH NG
66131,INNOCULATED,IH N AO K Y AH L EY T AH D
66132,STEREOTYPES,S T EH R IY AH T AY P S
66133,ROOP,R UW P
66134,GIELGUD,G IY L G AH D
66135,ANYBODY,EH N IY B AH D IY
66136,SKELLY,S K EH L IY
66137,APPEASING,AH P IY Z IH NG
66138,VENDETTI,V EH N D EH T IY
66139,BURIAN,B Y UH R IY AH N
66140,MAESTRO,M AY S T R OW
66141,FLAMMABILITY,F L AE M AH B IH L IH T IY
66142,REH,R EH
66143,INDELIBLY,IH N D EH L AH B L IY
66144,MONOPOLIZE,M AH N AA P AH L AY Z
66145,ATMOSPHERICS,AE T M AH S F EH R IH K S
66146,TACKLE,T AE K AH L
66147,PRIEM,P R IY M
66148,TELEMANAGEMENT,T EH L AH M AE N IH JH M AH N T
66149,CLAUDIE,K L AO D IY
66150,SEXTET,S EH K S T EH T
66151,DOSES,D OW S IH Z
66152,AERONAUTICAL,EH R OW N AA T AH K AH L
66153,SPECIFICATION,S P EH S IH F IH K EY SH AH N
66154,DISPOSITIONS,D IH S P AH Z IH SH AH N Z
66155,HUMANITARIAN,Y UW M AE N AH T EH R IY AH N
66156,PHILANTHROPIC,F IH L AH N TH R AA P IH K
66157,CRAWFORD,K R AO F ER D
66158,MCCOY,M AH K OY
66159,FLAMMER,F L AE M ER
66160,RUNKLE,R AH NG K AH L
66161,ECLIPTIC,IH K L IH P T IH K
66162,LILA,L IY L AH
66163,SHORKEY,SH AO R K IY
66164,RYCKMAN,R IH K M AH N
66165,JERSIANS,JH ER Z IY AH N Z
66166,SPIRITUALISTS,S P IH R IH CH AH W AH L IH S T S
66167,CANNOT,K AE N AA T
66168,AFFIXED,AH F IH K S T
66169,BUSSINGER,B AH S IH N JH ER
66170,HUFFSTUTLER,HH AH F S T UW T AH L ER
66171,SUNBATH,S AH N B AE TH
66172,COALESCENCE,K OW AH L EH S AH N S
66173,MISPRICING,M IH S P R AY S IH NG
66174,CAFFREY,K AE F R IY
66175,FISHERMAN,F IH SH ER M AH N
66176,MINCEY,M IH N S IY
66177,SRAM,SH R AE M
66178,PRUNED,P R UW N D
66179,RYBOLT,R IH B OW L T
66180,LUPFER,L AH P F ER
66181,JUVE,JH UW V
66182,LOCALIZATION,L OW K AH L AH Z EY SH AH N
66183,BRUTISH,B R UW T IH SH
66184,POPSICLE,P AA P S IH K AH L
66185,OCELOT'S,AA S AH L AA T S
66186,PIONEER,P AY AH N IH R
66187,SETUPS,S EH T AH P S
66188,UTERO,Y UW T ER OW
66189,SCHULDENER'S,SH UW L D AH N ER Z
66190,KLAGES,K L EY JH IH Z
66191,WALTHER,W AO L TH ER
66192,BLUEPRINT,B L UW P R IH N T
66193,KLEE,K L IY
66194,EMERGING,IY M ER JH IH NG
66195,KUDLOW,K AH D L OW
66196,TAVERNA,T AA V EH R N AH
66197,ENVISIONED,EH N V IH ZH AH N D
66198,VIOLETT,V AY L AH T
66199,SHANKS,SH AE NG K S
66200,TELEGENIC,T EH L AH JH EH N IH K
66201,STUBBED,S T AH B D
66202,RESEMBLANCES,R IY Z EH M B L AH N S AH Z
66203,KUBERSKI,K UW B ER S K IY
66204,JAKAB,JH AE K AH B
66205,AUSTRALS,AO S T R AH L Z
66206,COTTONWOOD,K AA T AH N W UH D
66207,BURDINES,B ER D AY N Z
66208,GLOSS,G L AO S
66209,DANSFORTH,D AE N S F AO R TH
66210,SHATTUCK,SH AE T AH K
66211,TRANQUILIZING,T R AE NG K W AH L AY Z IH NG
66212,BAL,B AE L
66213,DRIVEWAYS,D R AY V W EY Z
66214,BELAIR,B IH L EH R
66215,LUCCHESE,L UW K EY Z IY
66216,RELINQUISHED,R IH L IH NG K W IH SH T
66217,SWIGER,S W AY G ER
66218,HINDERED,HH IH N D ER D
66219,MAMA,M AA M AH
66220,CRANSTON'S,K R AE N S T AH N Z
66221,CHAUTAUQUANS,SH AH T AO K W AH N Z
66222,LECHMAN,L EH K M AH N
66223,FLORA,F L AO R AH
66224,CIANCI,CH AO N CH IY
66225,JAGS,JH AE G Z
66226,CYANIDE,S AY AH N AY D
66227,ROVER'S,R OW V ER Z
66228,LIQUIDATING,L IH K W IH D EY T IH NG
66229,GOAR,G AO R
66230,SUBTLE,S AH T AH L
66231,ESCAPEMENT,IH S K EY P M AH N T
66232,ZOLOFT,Z OW L AA F T
66233,NOUVEAU,N UW V OW
66234,EASLEY,IY Z L IY
66235,CONNOLLY,K AO N AH L IY
66236,UNACCREDITED,AH N AH K R EH D IH T IH D
66237,KAMRA,K AE M R AH
66238,HUMBURG,HH AH M B ER G
66239,CHAPLAIN,CH AE P L AH N
66240,TUTTEROW,T AH T ER OW
66241,IMAGERY,IH M IH JH R IY
66242,STROMBOLI'S,S T R AA M B OW L IY Z
66243,HYGIENIST,HH AY G IY N IH S T
66244,LEAL,L IY L
66245,BLASDEL,B L AE S D AH L
66246,INVESTMENT,IH N V EH S M AH N T
66247,FINAZZO,F IY N AA Z OW
66248,KIDDER'S,K IH D ER Z
66249,LARDER,L AA R D ER
66250,REVIVING,R IY V AY V IH NG
66251,EMISSION,IH M IH SH AH N
66252,BIVALVES,B AY V AE L V Z
66253,LEBANON,L EH B AH N AH N
66254,PREPARER,P R IY P EH R ER
66255,PHAGAN,F EY G AH N
66256,BECK,B EH K
66257,TROOPERS',T R UW P ER Z
66258,COLORED,K AH L ER D
66259,PAULI,P AO L IY
66260,OSCILLATED,AA S AH L EY T AH D
66261,STREET'S,S T R IY T S
66262,JORY,JH AO R IY
66263,GODIVA,G AH D AY V AH
66264,NAIRNE,N EH R N
66265,LISKA,L IH S K AH
66266,COCCARO,K OW K AA R OW
66267,BARRY,B EH R IY
66268,RELUCTANT,R IY L AH K T AH N T
66269,EASTEP,IY Z T IH P
66270,WINBERRY,W IH N B EH R IY
66271,CAVEY,K EY V IY
66272,RUPPEL,R AH P AH L
66273,JEZIERSKI,Y IH Z IH R S K IY
66274,AUXILIARY,AA G Z IH L Y ER IY
66275,HRUBIK,HH R UW B IH K
66276,VENTURINI,V EH N T UH R IY N IY
66277,CLEWS,K L UW Z
66278,KIBBY,K IH B IY
66279,MESSER,M EH S ER
66280,PREFECTURE,P R IY F EH K CH ER
66281,ORABEL,AO R AA B EH L
66282,STRASSMAN,S T R AE S M AH N
66283,LAKOTAS,L AH K OW T AH Z
66284,ASSIMILATED,AH S IH M AH L EY T IH D
66285,ADELPHIA'S,AH D EH L F IY AH Z
66286,ISCARIOT,IH S K EH R IY AH T
66287,FENNIMORE,F EH N IH M AO R
66288,UNCOATED,AH N K OW T IH D
66289,NUTRITION,N UW T R IH SH AH N
66290,NEUMANN,N UW M AH N
